record_id,ground_truth_category,split
R00185,normal,train
R00186,normal,evaluation
R00187,normal,train
R00188,normal,train
R00189,normal,train
R00190,normal,train
R00191,normal,evaluation
R00192,normal,train
R00193,normal,train
R00194,normal,train
R00195,normal,train
R00196,normal,train
R00197,rule_detectable,train
R00198,normal,train
R00199,normal,train
R00200,normal,train
R00201,normal,train
R00202,normal,train
R00203,normal,train
R00204,normal,evaluation
R00205,normal,train
R00206,normal,train
R00207,normal,evaluation
R00208,normal,train
R00209,normal,train
R00210,normal,train
R00211,normal,train
R00212,normal,evaluation
R00213,normal,train
R00214,normal,train
R00215,normal,train
R00216,normal,train
R00217,normal,train
R00218,normal,train
R00219,normal,evaluation
R00220,normal,train
R00221,normal,train
R00222,normal,train
R00223,normal,train
R00224,normal,evaluation
R00225,normal,train
R00226,normal,train
R00227,normal,evaluation
R00228,normal,evaluation
R00229,normal,train
R00230,normal,train
R00231,normal,train
R00232,normal,train
R00233,normal,train
R00234,normal,train
R00235,normal,train
R00236,normal,train
R00237,rule_detectable,train
R00238,normal,train
R00239,normal,evaluation
R00240,normal,train
R00241,normal,evaluation
R00242,normal,train
R00243,ml_multivariate,evaluation
R00244,ml_multivariate,train
R00245,normal,train
R00246,normal,evaluation
R00247,normal,train
R00248,normal,train
R00249,normal,train
R00250,normal,train
R00251,normal,evaluation
R00252,normal,train
R00253,normal,evaluation
R00254,normal,train
R00255,normal,evaluation
R00256,normal,train
R00257,normal,evaluation
R00258,normal,evaluation
R00259,normal,evaluation
R00260,normal,train
R00261,normal,train
R00262,normal,train
R00263,normal,train
R00264,normal,train
R00265,normal,train
R00266,normal,evaluation
R00267,normal,train
R00268,normal,train
R00269,normal,train
R00270,normal,train
R00271,normal,train
R00272,normal,train
R00273,normal,train
R00274,normal,train
R00275,normal,evaluation
R00276,normal,train
R00277,normal,evaluation
R00278,normal,train
R00279,normal,train
R00280,normal,train
R00281,normal,train
R00282,normal,train
R00283,normal,train
R00284,normal,train
R00285,normal,train
R00286,normal,train
R00287,normal,train
R00288,normal,train
R00289,normal,train
R00290,normal,train
R00291,normal,train
R00292,normal,train
R00293,normal,train
R00294,normal,train
R00295,normal,train
R00296,normal,train
R00297,normal,train
R00298,normal,train
R00299,normal,train
R00300,normal,train
R00301,normal,train
R00302,normal,evaluation
R00303,normal,evaluation
R00304,normal,train
R00305,normal,train
R00306,normal,evaluation
R00307,normal,train
R00308,normal,train
R00309,normal,train
R00310,normal,train
R00311,normal,train
R00312,normal,train
R00313,normal,evaluation
R00314,normal,train
R00315,normal,train
R00316,normal,evaluation
R00317,normal,train
R00318,ml_multivariate,train
R00319,normal,train
R00320,rule_detectable,train
R00321,normal,train
R00322,normal,train
R00323,normal,evaluation
R00324,normal,train
R00325,normal,train
R00326,normal,evaluation
R00327,normal,evaluation
R00328,normal,train
R00329,normal,train
R00330,normal,evaluation
R00331,normal,train
R00332,normal,evaluation
R00333,normal,train
R00334,normal,train
R00335,normal,train
R00336,normal,evaluation
R00337,normal,train
R00338,normal,evaluation
R00339,rule_detectable,train
R00340,normal,evaluation
R00341,normal,train
R00342,normal,train
R00343,normal,evaluation
R00344,normal,train
R00345,normal,train
R00346,normal,train
R00347,normal,evaluation
R00348,normal,train
R00349,normal,train
R00350,normal,evaluation
R00351,normal,train
R00352,normal,train
R00353,normal,train
R00354,normal,train
R00355,normal,train
R00356,normal,train
R00357,normal,evaluation
R00358,normal,evaluation
R00359,normal,train
R00360,normal,train
R00361,normal,train
R00362,normal,evaluation
R00363,normal,train
R00364,normal,train
R00365,normal,train
R00366,normal,train
R00367,normal,train
R00368,normal,evaluation
R00369,normal,train
R00370,normal,evaluation
R00371,normal,train
R00372,normal,train
R00373,normal,evaluation
R00374,normal,train
R00375,normal,train
R00376,normal,train
R00377,normal,train
R00378,normal,train
R00379,normal,train
R00380,normal,train
R00381,normal,evaluation
R00382,normal,train
R00383,normal,train
R00384,normal,train
R00385,normal,train
R00386,normal,evaluation
R00387,normal,train
R00388,normal,train
R00389,normal,train
R00390,normal,evaluation
R00391,normal,train
R00392,normal,train
R00393,normal,train
R00394,normal,train
R00395,normal,train
R00396,normal,train
R00397,normal,train
R00398,normal,train
R00399,normal,train
R00400,normal,train
R00401,normal,evaluation
R00402,normal,train
R00403,normal,evaluation
R00404,normal,train
R00405,normal,train
R00406,rule_detectable,train
R00407,normal,train
R00408,normal,evaluation
R00409,normal,train
R00410,normal,train
R00411,normal,train
R00412,normal,train
R00413,normal,train
R00414,normal,train
R00415,normal,train
R00416,ml_multivariate,evaluation
R00417,normal,train
R00418,normal,train
R00419,normal,train
R00420,normal,evaluation
R00421,normal,train
R00422,normal,train
R00423,normal,evaluation
R00424,normal,train
R00425,normal,train
R00426,normal,evaluation
R00427,normal,evaluation
R00428,normal,evaluation
R00429,normal,train
R00430,normal,train
R00431,normal,train
R00432,normal,train
R00433,normal,train
R00434,normal,train
R00435,normal,evaluation
R00436,normal,train
R00437,normal,train
R00438,normal,train
R00439,normal,train
R00440,normal,train
R00441,normal,train
R00442,normal,train
R00443,normal,train
R00444,normal,train
R00445,normal,train
R00446,normal,train
R00447,normal,train
R00448,normal,train
R00449,normal,train
R00450,normal,train
R00451,normal,train
R00452,normal,evaluation
R00453,normal,train
R00454,normal,train
R00455,normal,evaluation
R00456,normal,train
R00457,normal,train
R00458,normal,train
R00459,normal,evaluation
R00460,normal,evaluation
R00461,normal,train
R00462,normal,train
R00463,normal,train
R00464,normal,evaluation
R00465,normal,train
R00466,normal,train
R00467,rule_detectable,train
R00468,normal,train
R00469,normal,train
R00470,normal,train
R00471,ml_multivariate,train
R00472,normal,train
R00473,normal,evaluation
R00474,normal,train
R00475,normal,train
R00476,normal,train
R00477,normal,train
R00478,normal,evaluation
R00479,normal,train
R00480,normal,train
R00481,normal,train
R00482,normal,evaluation
R00483,rule_detectable,train
R00484,normal,train
R00485,normal,evaluation
R00486,normal,train
R00487,normal,train
R00488,normal,train
R00489,normal,train
R00490,normal,train
R00491,normal,evaluation
R00492,normal,train
R00493,both_detectable,train
R00494,normal,train
R00495,normal,train
R00496,normal,train
R00497,normal,train
R00498,normal,train
R00499,normal,train
R00500,normal,evaluation
R00501,normal,train
R00502,normal,train
R00503,normal,evaluation
R00504,normal,train
R00505,rule_detectable,train
R00506,normal,train
R00507,ml_multivariate,train
R00508,normal,train
R00509,normal,evaluation
R00510,normal,train
R00511,normal,train
R00512,normal,evaluation
R00513,normal,train
R00514,normal,train
R00515,normal,train
R00516,both_detectable,train
R00517,normal,evaluation
R00518,normal,train
R00519,normal,train
R00520,normal,evaluation
R00521,normal,evaluation
R00522,normal,train
R00523,normal,train
R00524,normal,train
R00525,normal,train
R00526,normal,train
R00527,normal,train
R00528,normal,evaluation
R00529,normal,train
R00530,normal,train
R00531,normal,train
R00532,normal,train
R00533,normal,train
R00534,normal,train
R00535,normal,train
R00536,ml_multivariate,train
R00537,normal,train
R00538,normal,evaluation
R00539,normal,train
R00540,normal,train
R00541,normal,train
R00542,ml_multivariate,train
R00543,normal,train
R00544,normal,train
R00545,normal,train
R00546,normal,train
R00547,normal,train
R00548,normal,evaluation
R00549,normal,train
R00550,normal,train
R00551,normal,train
R00552,normal,train
R00553,both_detectable,train
R00554,normal,train
R00555,normal,evaluation
R00556,normal,evaluation
R00557,normal,train
R00558,normal,train
R00559,normal,train
R00560,normal,train
R00561,normal,train
R00562,normal,evaluation
R00563,normal,train
R00564,both_detectable,train
R00565,normal,train
R00566,normal,evaluation
R00567,normal,train
R00568,normal,train
R00569,normal,train
R00570,normal,train
R00571,normal,train
R00572,normal,evaluation
R00573,normal,train
R00574,normal,train
R00575,normal,train
R00576,normal,evaluation
R00577,normal,train
R00578,normal,evaluation
R00579,normal,train
R00580,normal,train
R00581,normal,train
R00582,normal,train
R00583,normal,evaluation
R00584,normal,train
R00585,normal,train
R00586,normal,train
R00587,normal,train
R00588,normal,train
R00589,normal,train
R00590,normal,evaluation
R00591,normal,train
R00592,normal,train
R00593,normal,evaluation
R00594,normal,train
R00595,normal,train
R00596,normal,train
R00597,normal,train
R00598,normal,train
R00599,normal,train
R00600,normal,train
R00601,normal,train
R00602,normal,train
R00603,normal,train
R00604,normal,train
R00605,normal,train
R00606,normal,evaluation
R00607,rule_detectable,train
R00608,normal,train
R00609,normal,evaluation
R00610,normal,train
R00611,normal,train
R00612,normal,train
R00613,normal,train
R00614,normal,evaluation
R00615,normal,train
R00616,normal,train
R00617,normal,train
R00618,ml_multivariate,train
R00619,normal,train
R00620,normal,evaluation
R00621,normal,train
R00622,normal,evaluation
R00623,normal,train
R00624,normal,train
R00625,normal,train
R00626,normal,train
R00627,normal,train
R00628,normal,train
R00629,normal,train
R00630,normal,train
R00631,normal,train
R00632,normal,train
R00633,normal,train
R00634,both_detectable,train
R00635,normal,train
R00636,ml_multivariate,evaluation
R00637,normal,train
R00638,normal,train
R00639,normal,train
R00640,normal,train
R00641,normal,train
R00642,normal,evaluation
R00643,normal,train
R00644,normal,evaluation
R00645,normal,train
R00646,normal,train
R00647,normal,train
R00648,normal,train
R00649,normal,train
R00650,normal,train
R00651,normal,train
R00652,normal,train
R00653,normal,train
R00654,normal,train
R00655,normal,train
R00656,normal,train
R00657,normal,train
R00658,both_detectable,train
R00659,normal,train
R00660,normal,train
R00661,normal,train
R00662,normal,evaluation
R00663,normal,train
R00664,normal,train
R00665,normal,train
R00666,normal,train
R00667,normal,train
R00668,normal,train
R00669,normal,train
R00670,normal,train
R00671,normal,evaluation
R00672,normal,train
R00673,normal,train
R00674,normal,train
R00675,normal,train
R00676,normal,train
R00677,normal,train
R00678,normal,train
R00679,normal,train
R00680,normal,train
R00681,normal,train
R00682,normal,train
R00683,normal,evaluation
R00684,normal,train
R00685,normal,train
R00686,normal,train
R00687,normal,train
R00688,normal,train
R00689,normal,train
R00690,normal,train
R00691,normal,train
R00692,normal,train
R00693,normal,train
R00694,normal,train
R00695,normal,train
R00696,normal,train
R00697,normal,train
R00698,normal,evaluation
R00699,normal,train
R00700,normal,train
R00701,normal,train
R00702,normal,train
R00703,normal,train
R00704,normal,train
R00705,normal,evaluation
R00706,normal,evaluation
R00707,normal,train
R00708,normal,train
R00709,normal,train
R00710,normal,evaluation
R00711,normal,train
R00712,normal,evaluation
R00713,normal,train
R00714,normal,train
R00715,normal,evaluation
R00716,normal,train
R00717,normal,train
R00718,normal,train
R00719,normal,train
R00720,normal,train
R00721,normal,train
R00722,normal,train
R00723,normal,train
R00724,normal,train
R00725,normal,train
R00726,normal,train
R00727,normal,train
R00728,normal,train
R00729,normal,evaluation
R00730,normal,train
R00731,normal,train
R00732,normal,train
R00733,normal,train
R00734,ml_multivariate,train
R00735,normal,train
R00736,normal,train
R00737,normal,train
R00738,normal,evaluation
R00739,normal,train
R00740,normal,train
R00741,normal,evaluation
R00742,normal,evaluation
R00743,normal,train
R00744,normal,train
R00745,normal,train
R00746,normal,train
R00747,normal,train
R00748,normal,train
R00749,normal,train
R00750,normal,train
R00751,normal,train
R00752,normal,evaluation
R00753,normal,evaluation
R00754,normal,train
R00755,normal,train
R00756,normal,train
R00757,normal,train
R00758,normal,train
R00759,normal,train
R00760,normal,train
R00761,normal,train
R00762,normal,train
R00763,normal,train
R00764,normal,evaluation
R00765,normal,train
R00766,rule_detectable,train
R00767,normal,train
R00768,normal,train
R00769,normal,train
R00770,normal,train
R00771,normal,train
R00772,normal,evaluation
R00773,both_detectable,train
R00774,normal,train
R00775,normal,evaluation
R00776,normal,train
R00777,normal,train
R00778,normal,evaluation
R00779,normal,train
R00780,normal,train
R00781,normal,evaluation
R00782,normal,evaluation
R00783,normal,train
R00784,ml_multivariate,train
R00785,normal,train
R00786,normal,train
R00787,normal,train
R00788,normal,evaluation
R00789,normal,train
R00790,normal,train
R00791,normal,evaluation
R00792,normal,train
R00793,normal,train
R00794,normal,train
R00795,normal,train
R00796,normal,train
R00797,normal,train
R00798,normal,train
R00799,normal,train
R00800,normal,evaluation
R00801,normal,evaluation
R00802,normal,evaluation
R00803,normal,train
R00804,normal,train
R00805,normal,train
R00806,normal,train
R00807,normal,train
R00808,normal,train
R00809,normal,train
R00810,normal,train
R00811,normal,evaluation
R00812,normal,train
R00813,normal,train
R00814,normal,train
R00815,normal,train
R00816,normal,evaluation
R00817,normal,train
R00818,both_detectable,train
R00819,normal,train
R00820,normal,evaluation
R00821,normal,train
R00822,normal,evaluation
R00823,normal,train
R00824,normal,train
R00825,normal,train
R00826,normal,train
R00827,normal,train
R00828,normal,train
R00829,normal,train
R00830,normal,train
R00831,normal,evaluation
R00832,normal,train
R00833,normal,train
R00834,normal,train
R00835,normal,train
R00836,normal,train
R00837,normal,train
R00838,normal,evaluation
R00839,normal,train
R00840,normal,train
R00841,normal,train
R00842,normal,train
R00843,normal,train
R00844,normal,train
R00845,normal,evaluation
R00846,normal,train
R00847,normal,train
R00848,normal,train
R00849,normal,evaluation
R00850,normal,train
R00851,normal,train
R00852,normal,train
R00853,normal,evaluation
R00854,normal,train
R00855,normal,train
R00856,normal,train
R00857,normal,train
R00858,normal,train
R00859,normal,train
R00860,normal,train
R00861,normal,evaluation
R00862,normal,evaluation
R00863,rule_detectable,train
R00864,normal,evaluation
R00865,normal,train
R00866,normal,train
R00867,normal,train
R00868,ml_multivariate,train
R00869,normal,train
R00870,normal,train
R00871,normal,train
R00872,normal,train
R00873,normal,train
R00874,normal,train
R00875,rule_detectable,evaluation
R00876,normal,evaluation
R00877,normal,train
R00878,normal,train
R00879,normal,train
R00880,normal,evaluation
R00881,normal,train
R00882,normal,evaluation
R00883,normal,evaluation
R00884,normal,evaluation
R00885,normal,train
R00886,normal,train
R00887,normal,train
R00888,normal,train
R00889,normal,evaluation
R00890,normal,train
R00891,normal,evaluation
R00892,normal,train
R00893,normal,train
R00894,normal,evaluation
R00895,normal,train
R00896,normal,evaluation
R00897,normal,train
R00898,normal,evaluation
R00899,normal,train
R00900,normal,train
R00901,normal,train
R00902,normal,evaluation
R00903,normal,train
R00904,normal,train
R00905,normal,evaluation
R00906,normal,evaluation
R00907,rule_detectable,train
R00908,normal,evaluation
R00909,normal,evaluation
R00910,normal,train
R00911,normal,train
R00912,normal,evaluation
R00913,normal,evaluation
R00914,normal,train
R00915,normal,train
R00916,rule_detectable,train
R00917,normal,train
R00918,normal,train
R00919,normal,train
R00920,normal,evaluation
R00921,normal,train
R00922,normal,train
R00923,normal,train
R00924,normal,train
R00925,normal,train
R00926,normal,evaluation
R00927,normal,train
R00928,normal,train
R00929,normal,train
R00930,normal,evaluation
R00931,normal,evaluation
R00932,normal,train
R00933,normal,train
R00934,normal,train
R00935,normal,evaluation
R00936,normal,train
R00937,normal,train
R00938,normal,train
R00939,normal,train
R00940,normal,evaluation
R00941,normal,train
R00942,normal,train
R00943,normal,train
R00944,both_detectable,train
R00945,normal,train
R00946,normal,train
R00947,normal,train
R00948,normal,train
R00949,normal,evaluation
R00950,normal,evaluation
R00951,normal,train
R00952,normal,train
R00953,normal,train
R00954,normal,train
R00955,normal,train
R00956,normal,train
R00957,normal,train
R00958,normal,train
R00959,normal,train
R00960,normal,train
R00961,both_detectable,train
R00962,normal,train
R00963,normal,train
R00964,normal,evaluation
R00965,normal,train
R00966,normal,train
R00967,normal,train
R00968,normal,evaluation
R00969,normal,train
R00970,normal,evaluation
R00971,both_detectable,train
R00972,normal,train
R00973,normal,evaluation
R00974,normal,train
R00975,normal,train
R00976,normal,train
R00977,normal,evaluation
R00978,normal,train
R00979,ml_multivariate,train
R00980,ml_multivariate,train
R00981,normal,train
R00982,normal,train
R00983,normal,train
R00984,normal,train
R00985,normal,train
R00986,normal,evaluation
R00987,normal,train
R00988,normal,train
R00989,normal,train
R00990,normal,train
R00991,normal,train
R00992,normal,train
R00993,normal,train
R00994,normal,train
R00995,normal,train
R00996,normal,train
R00997,normal,train
R00998,normal,train
R00999,normal,train
R01000,normal,train
R01001,normal,evaluation
R01002,normal,evaluation
R01003,normal,train
R01004,normal,train
R01005,normal,train
R01006,normal,train
R01007,normal,train
R01008,normal,train
R01009,normal,evaluation
R01010,normal,train
R01011,normal,evaluation
R01012,normal,train
R01013,normal,train
R01014,normal,train
R01015,normal,train
R01016,normal,train
R01017,normal,evaluation
R01018,normal,evaluation
R01019,normal,train
R01020,normal,evaluation
R01021,normal,train
R01022,normal,evaluation
R01023,normal,train
R01024,normal,evaluation
R01025,normal,evaluation
R01026,normal,train
R01027,normal,train
R01028,normal,train
R01029,normal,evaluation
R01030,normal,train
R01031,normal,evaluation
R01032,normal,train
R01033,normal,train
R01034,normal,evaluation
R01035,both_detectable,train
R01036,both_detectable,train
R01037,normal,train
R01038,normal,train
R01039,normal,train
R01040,normal,train
R01041,normal,train
R01042,normal,train
R01043,normal,train
R01044,normal,train
R01045,normal,train
R01046,normal,evaluation
R01047,normal,train
R01048,normal,train
R01049,normal,train
R01050,normal,train
R01051,normal,train
R01052,normal,train
R01053,normal,evaluation
R01054,normal,evaluation
R01055,normal,train
R01056,normal,train
R01057,normal,train
R01058,normal,train
R01059,normal,train
R01060,normal,train
R01061,normal,train
R01062,normal,train
R01063,normal,train
R01064,normal,train
R01065,normal,train
R01066,normal,train
R01067,normal,train
R01068,normal,train
R01069,ml_multivariate,train
R01070,normal,train
R01071,normal,train
R01072,normal,train
R01073,normal,train
R01074,normal,evaluation
R01075,normal,train
R01076,normal,train
R01077,normal,train
R01078,normal,train
R01079,normal,train
R01080,normal,train
R01081,normal,train
R01082,normal,train
R01083,normal,evaluation
R01084,normal,train
R01085,normal,evaluation
R01086,normal,evaluation
R01087,normal,train
R01088,normal,train
R01089,normal,train
R01090,normal,train
R01091,normal,train
R01092,normal,train
R01093,normal,train
R01094,normal,train
R01095,normal,train
R01096,normal,train
R01097,normal,evaluation
R01098,rule_detectable,evaluation
R01099,normal,evaluation
R01100,normal,train
R01101,normal,evaluation
R01102,normal,train
R01103,normal,train
R01104,normal,train
R01105,normal,train
R01106,normal,train
R01107,normal,train
R01108,normal,evaluation
R01109,normal,train
R01110,normal,train
R01111,normal,train
R01112,normal,train
R01113,normal,train
R01114,normal,evaluation
R01115,normal,train
R01116,normal,train
R01117,normal,train
R01118,rule_detectable,train
R01119,normal,train
R01120,normal,train
R01121,normal,train
R01122,normal,train
R01123,ml_multivariate,train
R01124,normal,train
R01125,normal,evaluation
R01126,normal,train
R01127,rule_detectable,train
R01128,normal,train
R01129,normal,train
R01130,normal,train
R01131,rule_detectable,train
R01132,normal,train
R01133,normal,train
R01134,normal,train
R01135,normal,train
R01136,ml_multivariate,train
R01137,normal,train
R01138,normal,train
R01139,normal,train
R01140,normal,train
R01141,normal,train
R01142,normal,train
R01143,normal,evaluation
R01144,normal,train
R01145,normal,train
R01146,normal,train
R01147,normal,train
R01148,normal,train
R01149,normal,evaluation
R01150,normal,evaluation
R01151,normal,train
R01152,normal,evaluation
R01153,normal,train
R01154,normal,evaluation
R01155,normal,train
R01156,normal,evaluation
R01157,normal,train
R01158,normal,evaluation
R01159,normal,train
R01160,normal,evaluation
R01161,normal,train
R01162,normal,train
R01163,normal,train
R01164,normal,evaluation
R01165,normal,train
R01166,both_detectable,train
R01167,normal,train
R01168,normal,train
R01169,normal,train
R01170,normal,train
R01171,normal,evaluation
R01172,normal,train
R01173,normal,train
R01174,normal,train
R01175,rule_detectable,train
R01176,normal,evaluation
R01177,normal,train
R01178,normal,evaluation
R01179,normal,train
R01180,normal,evaluation
R01181,normal,train
R01182,normal,train
R01183,normal,train
R01184,normal,train
R01185,normal,train
R01186,normal,train
R01187,normal,evaluation
R01188,normal,evaluation
R01189,normal,train
R01190,normal,train
R01191,normal,train
R01192,ml_multivariate,train
R01193,both_detectable,train
R01194,rule_detectable,train
R01195,normal,evaluation
R01196,normal,train
R01197,normal,train
R01198,normal,train
R01199,normal,train
R01200,normal,train
R01201,normal,train
R01202,normal,evaluation
R01203,normal,train
R01204,normal,train
R01205,normal,train
R01206,both_detectable,evaluation
R01207,normal,train
R01208,normal,train
R01209,normal,train
R01210,normal,train
R01211,normal,train
R01212,normal,train
R01213,ml_multivariate,train
R01214,normal,train
R01215,normal,train
R01216,normal,train
R01217,normal,train
R01218,normal,train
R01219,normal,train
R01220,normal,train
R01221,normal,train
R01222,normal,train
R01223,normal,evaluation
R01224,normal,train
R01225,normal,evaluation
R01226,normal,train
R01227,normal,train
R01228,normal,evaluation
R01229,both_detectable,evaluation
R01230,normal,train
R01231,normal,train
R01232,normal,train
R01233,normal,train
R01234,normal,train
R01235,normal,train
R01236,normal,train
R01237,normal,train
R01238,normal,evaluation
R01239,normal,train
R01240,normal,train
R01241,normal,train
R01242,normal,evaluation
R01243,normal,train
R01244,normal,train
R01245,normal,evaluation
R01246,normal,evaluation
R01247,normal,train
R01248,normal,train
R01249,normal,train
R01250,normal,evaluation
R01251,normal,train
R01252,both_detectable,train
R01253,normal,train
R01254,normal,train
R01255,normal,evaluation
R01256,both_detectable,train
R01257,normal,train
R01258,normal,train
R01259,normal,train
R01260,normal,train
R01261,normal,evaluation
R01262,normal,train
R01263,normal,train
R01264,normal,train
R01265,normal,evaluation
R01266,normal,train
R01267,normal,train
R01268,normal,train
R01269,both_detectable,evaluation
R01270,normal,train
R01271,normal,train
R01272,normal,train
R01273,normal,evaluation
R01274,normal,train
R01275,normal,train
R01276,normal,evaluation
R01277,normal,train
R01278,normal,train
R01279,ml_multivariate,evaluation
R01280,normal,train
R01281,normal,train
R01282,normal,train
R01283,normal,train
R01284,normal,evaluation
R01285,normal,train
R01286,normal,train
R01287,normal,train
R01288,normal,train
R01289,normal,train
R01290,normal,train
R01291,normal,train
R01292,normal,train
R01293,normal,train
R01294,normal,train
R01295,normal,train
R01296,normal,train
R01297,normal,train
R01298,normal,train
R01299,normal,train
R01300,normal,train
R01301,normal,train
R01302,normal,train
R01303,normal,train
R01304,normal,train
R01305,normal,evaluation
R01306,normal,train
R01307,normal,train
R01308,normal,train
R01309,both_detectable,train
R01310,normal,train
R01311,normal,train
R01312,normal,evaluation
R01313,normal,train
R01314,normal,train
R01315,normal,train
R01316,normal,train
R01317,normal,train
R01318,normal,train
R01319,normal,train
R01320,normal,train
R01321,normal,train
R01322,normal,train
R01323,normal,train
R01324,normal,train
R01325,normal,train
R01326,normal,train
R01327,normal,train
R01328,normal,train
R01329,normal,train
R01330,normal,train
R01331,normal,train
R01332,normal,train
R01333,normal,train
R01334,normal,train
R01335,normal,train
R01336,normal,train
R01337,normal,train
R01338,normal,train
R01339,normal,evaluation
R01340,normal,train
R01341,normal,train
R01342,normal,train
R01343,normal,train
R01344,normal,train
R01345,normal,train
R01346,normal,train
R01347,normal,evaluation
R01348,normal,train
R01349,normal,evaluation
R01350,normal,train
R01351,normal,train
R01352,normal,train
R01353,rule_detectable,train
R01354,normal,train
R01355,normal,train
R01356,normal,train
R01357,normal,train
R01358,normal,train
R01359,normal,train
R01360,normal,train
R01361,normal,evaluation
R01362,normal,train
R01363,normal,train
R01364,normal,train
R01365,normal,train
R01366,normal,train
R01367,normal,evaluation
R01368,normal,train
R01369,normal,train
R01370,normal,train
R01371,normal,train
R01372,normal,train
R01373,normal,evaluation
R01374,normal,train
R01375,normal,train
R01376,rule_detectable,train
R01377,normal,train
R01378,normal,train
R01379,normal,train
R01380,normal,train
R01381,normal,train
R01382,normal,train
R01383,ml_multivariate,train
R01384,normal,evaluation
R01385,normal,evaluation
R01386,normal,train
R01387,normal,evaluation
R01388,normal,train
R01389,normal,train
R01390,normal,train
R01391,normal,train
R01392,normal,evaluation
R01393,normal,train
R01394,rule_detectable,train
R01395,normal,train
R01396,normal,train
R01397,normal,train
R01398,normal,train
R01399,normal,train
R01400,normal,evaluation
R01401,normal,train
R01402,normal,train
R01403,normal,train
R01404,normal,train
R01405,normal,train
R01406,normal,train
R01407,normal,train
R01408,normal,train
R01409,normal,train
R01410,normal,train
R01411,normal,train
R01412,normal,train
R01413,normal,train
R01414,normal,train
R01415,normal,train
R01416,normal,evaluation
R01417,normal,train
R01418,normal,train
R01419,normal,train
R01420,normal,train
R01421,normal,train
R01422,normal,train
R01423,normal,evaluation
R01424,normal,train
R01425,normal,train
R01426,normal,evaluation
